date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:27	816852/816852	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:46:54%20GMT	https://nephos.cssninja.io/assets/fonts/fa-solid-900.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-solid-900.svg	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:27	18831/18831	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:05%20GMT	https://nephos.cssninja.io/assets/img/illustrations/profile.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/illustrations/profile.svg	(from https://nephos.cssninja.io/account.html)
13:37:28	991/991	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:06%20GMT	https://nephos.cssninja.io/assets/img/logo/nephos-gold.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/logo/nephos-gold.svg	(from https://nephos.cssninja.io/account.html)
13:37:28	852/852	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:07%20GMT	https://nephos.cssninja.io/assets/img/logo/nephos-referral.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/logo/nephos-referral.svg	(from https://nephos.cssninja.io/account.html)
13:37:28	84664/84664	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:37:28%20GMT	https://nephos.cssninja.io/account-edit.html	D:/kuliah/farm-template/nephos.cssninja.io/account-edit.html	(from https://nephos.cssninja.io/account.html)
13:37:29	42745/42745	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2022:46:49%20GMT	https://nephos.cssninja.io/assets/css/demo.css	D:/kuliah/farm-template/nephos.cssninja.io/assets/css/demo.css	(from https://nephos.cssninja.io/)
13:37:29	66923/66923	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:37:28%20GMT	https://nephos.cssninja.io/index.html	D:/kuliah/farm-template/nephos.cssninja.io/index-2.html	(from https://nephos.cssninja.io/)
13:37:29	627/627	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:07%20GMT	https://nephos.cssninja.io/assets/img/logo/nephos-white.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/logo/nephos-white.svg	(from https://nephos.cssninja.io/)
13:37:30	710/710	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:03%20GMT	https://nephos.cssninja.io/assets/img/brands/html5-white.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/brands/html5-white.svg	(from https://nephos.cssninja.io/)
13:37:30	571/571	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:02%20GMT	https://nephos.cssninja.io/assets/img/brands/bulma-white.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/brands/bulma-white.svg	(from https://nephos.cssninja.io/)
